"ID","Name","Form","Type1","Type2","Total","HP","Attack","Defense","Sp. Atk","Sp. Def","Speed","Generation"
304,"Aron"," ","Steel","Rock",330,50,70,100,40,40,30,3
305,"Lairon"," ","Steel","Rock",430,60,90,140,50,50,40,3
306,"Aggron"," ","Steel","Rock",530,70,110,180,60,60,50,3
307,"Meditite"," ","Fighting","Psychic",280,30,40,55,40,55,60,3
308,"Medicham"," ","Fighting","Psychic",410,60,60,75,60,75,80,3
309,"Electrike"," ","Electric"," ",295,40,45,40,65,40,65,3
310,"Manectric"," ","Electric"," ",475,70,75,60,105,60,105,3
311,"Plusle"," ","Electric"," ",405,60,50,40,85,75,95,3
312,"Minun"," ","Electric"," ",405,60,40,50,75,85,95,3
313,"Volbeat"," ","Bug"," ",430,65,73,75,47,85,85,3
314,"Illumise"," ","Bug"," ",430,65,47,75,73,85,85,3
315,"Roselia"," ","Grass","Poison",400,50,60,45,100,80,65,3
316,"Gulpin"," ","Poison"," ",302,70,43,53,43,53,40,3
317,"Swalot"," ","Poison"," ",467,100,73,83,73,83,55,3
318,"Carvanha"," ","Water","Dark",305,45,90,20,65,20,65,3
319,"Sharpedo"," ","Water","Dark",460,70,120,40,95,40,95,3
320,"Wailmer"," ","Water"," ",400,130,70,35,70,35,60,3
321,"Wailord"," ","Water"," ",500,170,90,45,90,45,60,3
322,"Numel"," ","Fire","Ground",305,60,60,40,65,45,35,3
323,"Camerupt"," ","Fire","Ground",460,70,100,70,105,75,40,3
324,"Torkoal"," ","Fire"," ",470,70,85,140,85,70,20,3
325,"Spoink"," ","Psychic"," ",330,60,25,35,70,80,60,3
326,"Grumpig"," ","Psychic"," ",470,80,45,65,90,110,80,3
327,"Spinda"," ","Normal"," ",360,60,60,60,60,60,60,3
328,"Trapinch"," ","Ground"," ",290,45,100,45,45,45,10,3
329,"Vibrava"," ","Ground","Dragon",340,50,70,50,50,50,70,3
330,"Flygon"," ","Ground","Dragon",520,80,100,80,80,80,100,3
331,"Cacnea"," ","Grass"," ",335,50,85,40,85,40,35,3
332,"Cacturne"," ","Grass","Dark",475,70,115,60,115,60,55,3
333,"Swablu"," ","Normal","Flying",310,45,40,60,40,75,50,3
334,"Altaria"," ","Dragon","Flying",490,75,70,90,70,105,80,3
335,"Zangoose"," ","Normal"," ",458,73,115,60,60,60,90,3
336,"Seviper"," ","Poison"," ",458,73,100,60,100,60,65,3
337,"Lunatone"," ","Rock","Psychic",460,90,55,65,95,85,70,3
338,"Solrock"," ","Rock","Psychic",460,90,95,85,55,65,70,3
339,"Barboach"," ","Water","Ground",288,50,48,43,46,41,60,3
340,"Whiscash"," ","Water","Ground",468,110,78,73,76,71,60,3
341,"Corphish"," ","Water"," ",308,43,80,65,50,35,35,3
342,"Crawdaunt"," ","Water","Dark",468,63,120,85,90,55,55,3
343,"Baltoy"," ","Ground","Psychic",300,40,40,55,40,70,55,3
344,"Claydol"," ","Ground","Psychic",500,60,70,105,70,120,75,3
345,"Lileep"," ","Rock","Grass",355,66,41,77,61,87,23,3
346,"Cradily"," ","Rock","Grass",495,86,81,97,81,107,43,3
347,"Anorith"," ","Rock","Bug",355,45,95,50,40,50,75,3
348,"Armaldo"," ","Rock","Bug",495,75,125,100,70,80,45,3
349,"Feebas"," ","Water"," ",200,20,15,20,10,55,80,3
350,"Milotic"," ","Water"," ",540,95,60,79,100,125,81,3
351,"Castform"," ","Normal"," ",420,70,70,70,70,70,70,3
351,"Castform","Sunny Form","Fire"," ",420,70,70,70,70,70,70,3
351,"Castform","Rainy Form","Water"," ",420,70,70,70,70,70,70,3
351,"Castform","Snowy Form","Ice"," ",420,70,70,70,70,70,70,3
352,"Kecleon"," ","Normal"," ",440,60,90,70,60,120,40,3
353,"Shuppet"," ","Ghost"," ",295,44,75,35,63,33,45,3
354,"Banette"," ","Ghost"," ",455,64,115,65,83,63,65,3
355,"Duskull"," ","Ghost"," ",295,20,40,90,30,90,25,3
356,"Dusclops"," ","Ghost"," ",455,40,70,130,60,130,25,3
357,"Tropius"," ","Grass","Flying",460,99,68,83,72,87,51,3
358,"Chimecho"," ","Psychic"," ",455,75,50,80,95,90,65,3
359,"Absol"," ","Dark"," ",465,65,130,60,75,60,75,3
360,"Wynaut"," ","Psychic"," ",260,95,23,48,23,48,23,3
361,"Snorunt"," ","Ice"," ",300,50,50,50,50,50,50,3
362,"Glalie"," ","Ice"," ",480,80,80,80,80,80,80,3
363,"Spheal"," ","Ice","Water",290,70,40,50,55,50,25,3
364,"Sealeo"," ","Ice","Water",410,90,60,70,75,70,45,3
365,"Walrein"," ","Ice","Water",530,110,80,90,95,90,65,3
366,"Clamperl"," ","Water"," ",345,35,64,85,74,55,32,3
367,"Huntail"," ","Water"," ",485,55,104,105,94,75,52,3
368,"Gorebyss"," ","Water"," ",485,55,84,105,114,75,52,3
369,"Relicanth"," ","Water","Rock",485,100,90,130,45,65,55,3
370,"Luvdisc"," ","Water"," ",330,43,30,55,40,65,97,3
371,"Bagon"," ","Dragon"," ",300,45,75,60,40,30,50,3
372,"Shelgon"," ","Dragon"," ",420,65,95,100,60,50,50,3
373,"Salamence"," ","Dragon","Flying",600,95,135,80,110,80,100,3
374,"Beldum"," ","Steel","Psychic",300,40,55,80,35,60,30,3
375,"Metang"," ","Steel","Psychic",420,60,75,100,55,80,50,3
376,"Metagross"," ","Steel","Psychic",600,80,135,130,95,90,70,3
377,"Regirock"," ","Rock"," ",580,80,100,200,50,100,50,3
378,"Regice"," ","Ice"," ",580,80,50,100,100,200,50,3
379,"Registeel"," ","Steel"," ",580,80,75,150,75,150,50,3
380,"Latias"," ","Dragon","Psychic",600,80,80,90,110,130,110,3
381,"Latios"," ","Dragon","Psychic",600,80,90,80,130,110,110,3
382,"Kyogre"," ","Water"," ",670,100,100,90,150,140,90,3
383,"Groudon"," ","Ground"," ",670,100,150,140,100,90,90,3
384,"Rayquaza"," ","Dragon","Flying",680,105,150,90,150,90,95,3
385,"Jirachi"," ","Steel","Psychic",600,100,100,100,100,100,100,3
386,"Deoxys","Normal Forme","Psychic"," ",600,50,150,50,150,50,150,3
386,"Deoxys","Attack Forme","Psychic"," ",600,50,180,20,180,20,150,3
386,"Deoxys","Defense Forme","Psychic"," ",600,50,70,160,70,160,90,3
386,"Deoxys","Speed Forme","Psychic"," ",600,50,95,90,95,90,180,3
