Number,Name,Type1,Type2,Total,HP,Attack,Defense,SpecialAtk,SpecialDef,Speed,Checksum,Generation,Legendary
840,Applin,Grass,Dragon,260,40,40,80,40,40,20,0,8,FALSE
841,Flapple,Grass,Dragon,485,70,110,80,95,60,70,0,8,FALSE
842,Appletun,Grass,Dragon,485,110,85,80,100,80,30,0,8,FALSE
843,Silicobra,Ground,,315,52,57,75,35,50,46,0,8,FALSE
844,Sanaconda,Ground,,510,72,107,125,65,70,71,0,8,FALSE
845,Cramorant,Flying,Water,475,70,85,55,85,95,85,0,8,FALSE
846,Arrokuda,Water,,280,41,63,40,40,30,66,0,8,FALSE
847,Barraskewda,Water,,490,61,123,60,60,50,136,0,8,FALSE
848,Toxel,Electric,Poison,242,40,38,35,54,35,40,0,8,FALSE
849,ToxtricityLow Key Form,Electric,Poison,502,75,98,70,114,70,75,0,8,FALSE
849,ToxitricityAmped Form,Electric,Poison,502,75,98,70,114,70,75,0,8,FALSE
850,Sizzlipede,Fire,Bug,305,50,65,45,50,50,45,0,8,FALSE
851,Centiskorch,Fire,Bug,525,100,115,65,90,90,65,0,8,FALSE
852,Clobbopus,Fighting,,310,50,68,60,50,50,32,0,8,FALSE
853,Grapploct,Fighting,,480,80,118,90,70,80,42,0,8,FALSE
854,Sinistea,Ghost,,308,40,45,45,74,54,50,0,8,FALSE
855,Polteageist,Ghost,,508,60,65,65,134,114,70,0,8,FALSE
856,Hatenna,Psychic,,265,42,30,45,56,53,39,0,8,FALSE
857,Hattrem,Psychic,,370,57,40,65,86,73,49,0,8,FALSE
858,Hatterene,Psychic,,370,57,40,65,86,73,49,0,8,FALSE
859,Impidimp,Dark,Fairy,265,45,45,30,55,40,50,0,8,FALSE
860,Morgrem,Dark,Fairy,370,65,60,45,75,55,70,0,8,FALSE
861,Grimmsnarl,Dark,Fairy,510,95,120,65,95,75,60,0,8,FALSE
862,Obstagoon,Dark,Normal,520,93,90,101,60,81,95,0,8,FALSE
863,Perrserker,Steel,,440,70,110,100,50,60,50,0,8,FALSE
864,Cursola,Ghost,,510,60,95,50,145,130,30,0,8,FALSE
865,Sirfetch'd,Fighting,,507,62,135,95,68,82,65,0,8,FALSE
866,Mr. Rime,Psychic,Ice,520,80,85,75,110,100,70,0,8,FALSE
867,Runerigus,Ground,Ghost,483,58,95,145,50,105,30,0,8,FALSE
868,Milcery,Fairy,,270,45,40,40,50,61,34,0,8,FALSE
869,Alcremie,Fairy,,495,65,60,75,110,121,64,0,8,FALSE
870,Falinks,Fighting,,470,65,100,100,70,60,75,0,8,FALSE
871,Pincurchin,Electric,,435,48,101,95,91,85,15,0,8,FALSE
872,Snom,Ice,Bug,185,30,25,35,45,30,20,0,8,FALSE
873,Frosmoth,Ice,Bug,475,70,65,60,125,90,65,0,8,FALSE
874,Stonjourner,Rock,,470,100,125,135,20,20,70,0,8,FALSE
875,EiscueIceFace,Ice,,470,75,80,110,65,90,50,0,8,FALSE
875,EiscueNoice Face,,,470,75,80,110,65,90,50,0,8,FALSE
876,IndeedeeMale,Psychic,Normal,475,60,65,55,105,95,95,0,8,FALSE
876,IndeedeeFemale,Psychic,Normal,475,60,65,55,105,95,95,0,8,FALSE
877,MorpekoFully Belly Mode,Electric,Dark,436,58,95,58,70,58,97,0,8,FALSE
877,MorpekoHangry Mode,Electric,Dark,436,58,95,58,70,58,97,0,8,FALSE
878,Cufant,Steel,,330,72,80,49,40,49,40,0,8,FALSE
879,Copperajah,Steel,,500,122,130,69,80,69,30,0,8,FALSE
880,Dracozolt,Electric,Dragon,505,90,100,90,80,70,75,0,8,FALSE
881,Arctozolt,Electric,Ice,505,90,100,90,90,80,55,0,8,FALSE
882,Dracovish,Water,Dragon,505,90,90,100,70,80,75,0,8,FALSE
883,Arctovish,Water,Ice,505,90,90,100,80,90,55,0,8,FALSE
884,Duraludon,Steel,Dragon,535,70,95,115,120,50,85,0,8,FALSE
885,Dreepy,Dragon,Ghost,270,28,60,30,40,30,82,0,8,FALSE
886,Drakloak,Dragon,Ghost,410,68,80,50,60,50,102,0,8,FALSE
887,Dragapult,Dragon,Ghost,600,88,120,75,100,75,142,0,8,FALSE
888,ZacianCrowned Sword,Fairy,Steel,720,92,170,115,80,115,148,0,8,TRUE
888,ZacianCrowned Shield,Fairy,,670,92,130,115,80,115,138,0,8,TRUE
889,ZamazentaCrowned Shield,Fighting,Steel,720,92,130,145,80,145,128,0,8,TRUE
889,ZamazentaHero of Many Battles,Fighting,,670,92,130,115,80,115,138,0,8,TRUE
890,Eternatus,Poison,Dragon,690,140,85,95,145,95,130,0,8,TRUE
890,EternatusEternamax,Poison,Dragon,1125,255,115,250,125,250,130,0,8,TRUE
891,Kubfu,Fighting,,385,60,90,60,53,50,72,0,8,FALSE
892,UrshifuSingle Strike Style,Fighting,Dark,550,100,130,100,63,60,97,0,8,FALSE
892,UrshifuRapid Strike Style,Fighting,Water,550,100,130,100,63,60,97,0,8,FALSE
893,Zarude,Dark,Grass,600,105,120,105,70,95,105,0,8,FALSE
894,Regieleki,Electric,,580,80,100,50,100,50,200,0,8,FALSE
895,Regidrago,Dragon,,580,200,100,50,100,50,80,0,8,FALSE
896,Glastrier,Ice,,580,100,145,130,65,110,30,0,8,FALSE
897,Spectrier,Ghost,,580,100,65,60,145,80,130,0,8,FALSE
898,Calyrex,Psychic,Grass,500,100,80,80,80,80,80,0,8,TRUE
898,CalyrexIce Rider,Psychic,Ice,680,100,165,150,85,130,50,0,8,TRUE
898,CalyrexShadow Rider,Psychic,Ghost,680,100,85,80,165,100,150,0,8,TRUE
