"ID","Name","Form","Type1","Type2","Total","HP","Attack","Defense","Sp. Atk","Sp. Def","Speed","Generation"
472,"Gliscor"," ","Ground","Flying",510,75,95,125,45,75,95,4
473,"Mamoswine"," ","Ice","Ground",530,110,130,80,70,60,80,4
474,"Porygon-Z"," ","Normal"," ",535,85,80,70,135,75,90,4
475,"Gallade"," ","Psychic","Fighting",518,68,125,65,65,115,80,4
476,"Probopass"," ","Rock","Steel",525,60,55,145,75,150,40,4
477,"Dusknoir"," ","Ghost"," ",525,45,100,135,65,135,45,4
478,"Froslass"," ","Ice","Ghost",480,70,80,70,80,70,110,4
479,"Rotom"," ","Electric","Ghost",440,50,50,77,95,77,91,4
479,"Rotom","Heat Rotom","Electric","Fire",520,50,65,107,105,107,86,4
479,"Rotom","Wash Rotom","Electric","Water",520,50,65,107,105,107,86,4
479,"Rotom","Frost Rotom","Electric","Ice",520,50,65,107,105,107,86,4
479,"Rotom","Fan Rotom","Electric","Flying",520,50,65,107,105,107,86,4
479,"Rotom","Mow Rotom","Electric","Grass",520,50,65,107,105,107,86,4
480,"Uxie"," ","Psychic"," ",580,75,75,130,75,130,95,4
481,"Mesprit"," ","Psychic"," ",580,80,105,105,105,105,80,4
482,"Azelf"," ","Psychic"," ",580,75,125,70,125,70,115,4
483,"Dialga"," ","Steel","Dragon",680,100,120,120,150,100,90,4
484,"Palkia"," ","Water","Dragon",680,90,120,100,150,120,100,4
485,"Heatran"," ","Fire","Steel",600,91,90,106,130,106,77,4
486,"Regigigas"," ","Normal"," ",670,110,160,110,80,110,100,4
487,"Giratina","Altered Forme","Ghost","Dragon",680,150,100,120,100,120,90,4
487,"Giratina","Origin Forme","Ghost","Dragon",680,150,120,100,120,100,90,4
488,"Cresselia"," ","Psychic"," ",580,120,70,110,75,120,85,4
489,"Phione"," ","Water"," ",480,80,80,80,80,80,80,4
490,"Manaphy"," ","Water"," ",600,100,100,100,100,100,100,4
491,"Darkrai"," ","Dark"," ",600,70,90,90,135,90,125,4
492,"Shaymin","Land Forme","Grass"," ",600,100,100,100,100,100,100,4
492,"Shaymin","Sky Forme","Grass","Flying",600,100,103,75,120,75,127,4
493,"Arceus"," ","Normal"," ",720,120,120,120,120,120,120,4
